model,channel,attributed_revenue,orders,allocation_rows,avg_weight,model_revenue_share,spend_total,roas
first_touch,direct,28628.82,262,262,1.0,0.12331941829775488,0.0,
first_touch,email,17253.97,156,156,1.0,0.07432194354244827,0.0,
first_touch,google,56082.35,520,520,1.0,0.24157624305755854,169015.09,0.33181859678919795
first_touch,meta,52951.96,466,466,1.0,0.22809200326545015,173310.51,0.30553230730207875
first_touch,organic,45472.69,391,391,1.0,0.19587484497209928,0.0,
first_touch,tiktok,31761.97,290,290,1.0,0.13681554686468886,196202.11,0.1618839369260606
last_touch,direct,92802.06,840,840,1.0,0.3997473893801193,0.0,
last_touch,email,12406.76,107,107,1.0,0.05344245505612363,0.0,
last_touch,google,39919.44,377,377,1.0,0.17195407004452604,169015.09,0.23618861487456536
last_touch,meta,35174.07,301,301,1.0,0.15151326011915653,173310.51,0.20295405050738122
last_touch,organic,31472.63,267,267,1.0,0.13556920697047484,0.0,
last_touch,tiktok,20376.8,193,193,1.0,0.08777361842959966,196202.11,0.1038561715773597
linear,direct,28628.82,262,262,1.0,0.12331941829775488,0.0,
linear,email,17253.97,156,156,1.0,0.07432194354244827,0.0,
linear,google,56082.35,520,520,1.0,0.24157624305755854,169015.09,0.33181859678919795
linear,meta,52951.96,466,466,1.0,0.22809200326545015,173310.51,0.30553230730207875
linear,organic,45472.69,391,391,1.0,0.19587484497209928,0.0,
linear,tiktok,31761.97,290,290,1.0,0.13681554686468886,196202.11,0.1618839369260606
time_decay,direct,28628.82,262,262,1.0,0.12331941829775488,0.0,
time_decay,email,17253.97,156,156,1.0,0.07432194354244827,0.0,
time_decay,google,56082.35,520,520,1.0,0.24157624305755854,169015.09,0.33181859678919795
time_decay,meta,52951.96,466,466,1.0,0.22809200326545015,173310.51,0.30553230730207875
time_decay,organic,45472.69,391,391,1.0,0.19587484497209928,0.0,
time_decay,tiktok,31761.97,290,290,1.0,0.13681554686468886,196202.11,0.1618839369260606
