model,channel,attributed_revenue,orders,allocation_rows,avg_weight,model_revenue_share,spend_total,roas
first_touch,google,56082.35,520,520,1.0,0.24157624305755854,169015.09,0.33181859678919795
first_touch,meta,52951.96,466,466,1.0,0.22809200326545015,173310.51,0.30553230730207875
first_touch,tiktok,31761.97,290,290,1.0,0.13681554686468886,196202.11,0.1618839369260606
last_touch,google,39919.44,377,377,1.0,0.17195407004452604,169015.09,0.23618861487456536
last_touch,meta,35174.07,301,301,1.0,0.15151326011915653,173310.51,0.20295405050738122
last_touch,tiktok,20376.8,193,193,1.0,0.08777361842959966,196202.11,0.1038561715773597
linear,google,56082.35,520,520,1.0,0.24157624305755854,169015.09,0.33181859678919795
linear,meta,52951.96,466,466,1.0,0.22809200326545015,173310.51,0.30553230730207875
linear,tiktok,31761.97,290,290,1.0,0.13681554686468886,196202.11,0.1618839369260606
time_decay,google,56082.35,520,520,1.0,0.24157624305755854,169015.09,0.33181859678919795
time_decay,meta,52951.96,466,466,1.0,0.22809200326545015,173310.51,0.30553230730207875
time_decay,tiktok,31761.97,290,290,1.0,0.13681554686468886,196202.11,0.1618839369260606
