customer_id,first_paid_order_month,order_month,month_index,payment_status,first_order_in_month,last_order_in_month,orders_in_month,month_revenue,first_utm_source,first_utm_medium,first_utm_campaign
cust_000a2b55,2024-06,2024-06,0,paid,2024-06-16 08:32:22,2024-06-16 08:32:22,1,51.0,tiktok,cpc,tiktok_campaign_16
cust_00274780,2024-05,2024-05,0,paid,2024-05-01 10:26:18,2024-05-01 10:26:18,1,87.08,direct,direct,direct
cust_002d0843,2024-04,2024-04,0,paid,2024-04-23 12:19:56,2024-04-23 12:19:56,1,88.26,organic,organic,direct
cust_004c8d70,2024-09,2024-09,0,paid,2024-09-08 14:42:06,2024-09-08 14:42:06,1,396.02,google,cpc,google_campaign_6
cust_0058404c,2024-10,2024-10,0,paid,2024-10-11 20:09:56,2024-10-11 20:09:56,1,102.5,organic,organic,direct
cust_007261bf,2024-12,2024-12,0,paid,2024-12-07 10:11:43,2024-12-07 10:11:43,1,54.75,google,cpc,google_campaign_18
cust_00735990,2024-01,2024-01,0,paid,2024-01-24 18:42:20,2024-01-24 18:42:20,1,148.53,direct,direct,direct
cust_008ccc7d,2024-02,2024-02,0,paid,2024-02-29 23:19:33,2024-02-29 23:19:33,1,76.71,organic,organic,direct
cust_009063d5,2024-11,2024-11,0,paid,2024-11-17 11:06:27,2024-11-17 11:06:27,1,46.28,google,cpc,google_campaign_6
cust_00acca40,2024-12,2024-12,0,paid,2024-12-13 09:26:22,2024-12-13 09:26:22,1,206.58,google,cpc,google_campaign_1
cust_00bf11bc,2024-10,2024-10,0,paid,2024-10-14 07:22:05,2024-10-14 07:22:05,1,106.81,organic,organic,direct
cust_00f118d2,2024-08,2024-08,0,paid,2024-08-14 20:05:11,2024-08-14 20:05:11,1,139.1,meta,cpc,meta_campaign_7
cust_01136aca,2024-07,2024-07,0,paid,2024-07-28 22:48:30,2024-07-28 22:48:30,1,222.61,direct,direct,direct
cust_011ec2ce,2024-10,2024-10,0,paid,2024-10-10 13:35:18,2024-10-10 13:35:18,1,139.66,google,cpc,google_campaign_6
cust_0132cf59,2024-07,2024-07,0,paid,2024-07-19 11:19:08,2024-07-19 11:19:08,1,39.76,meta,cpc,meta_campaign_6
cust_0138c952,2024-08,2024-08,0,paid,2024-08-07 14:14:25,2024-08-07 14:14:25,1,132.42,direct,direct,direct
cust_017dcf73,2024-11,2024-11,0,paid,2024-11-09 15:53:47,2024-11-09 15:53:47,1,121.29,google,cpc,google_campaign_11
cust_018ecb4a,2024-10,2024-10,0,paid,2024-10-20 16:32:46,2024-10-20 16:32:46,1,208.39,direct,direct,direct
cust_019425e0,2024-11,2024-11,0,paid,2024-11-25 15:16:20,2024-11-25 15:16:20,1,49.94,tiktok,cpc,tiktok_campaign_7
cust_01c74bf4,2024-08,2024-08,0,paid,2024-08-18 08:42:29,2024-08-18 08:42:29,1,153.12,direct,direct,direct
cust_020a7566,2024-06,2024-06,0,paid,2024-06-26 06:47:31,2024-06-26 06:47:31,1,81.02,direct,direct,direct
cust_0212ad3c,2024-10,2024-10,0,paid,2024-10-02 15:04:57,2024-10-02 15:04:57,1,35.55,google,cpc,google_campaign_13
cust_02321411,2024-04,2024-04,0,paid,2024-04-14 15:38:52,2024-04-14 15:38:52,1,90.76,tiktok,cpc,tiktok_campaign_3
cust_02aafd0f,2024-03,2024-03,0,paid,2024-03-08 09:18:08,2024-03-08 09:18:08,1,92.9,direct,direct,direct
cust_02b4dbbb,2024-06,2024-06,0,paid,2024-06-04 15:53:15,2024-06-04 15:53:15,1,29.8,meta,cpc,meta_campaign_14
cust_02ee30d2,2024-08,2024-08,0,paid,2024-08-22 22:36:18,2024-08-22 22:36:18,1,115.89,direct,direct,direct
cust_02f3a191,2024-10,2024-10,0,paid,2024-10-26 00:16:24,2024-10-26 00:16:24,1,68.02,direct,direct,direct
cust_030b9c03,2024-04,2024-04,0,paid,2024-04-26 19:53:27,2024-04-26 19:53:27,1,40.64,direct,direct,direct
cust_03217c1f,2024-12,2024-12,0,paid,2024-12-09 08:23:24,2024-12-09 08:23:24,1,53.8,direct,direct,direct
cust_033f6834,2024-11,2024-11,0,paid,2024-11-27 21:33:58,2024-11-27 21:33:58,1,123.67,direct,direct,direct
cust_0340f517,2024-11,2024-11,0,paid,2024-11-08 17:57:24,2024-11-08 17:57:24,1,150.47,organic,organic,direct
cust_034c2eda,2024-06,2024-06,0,paid,2024-06-06 15:02:05,2024-06-06 15:02:05,1,85.5,direct,direct,direct
cust_03506676,2024-03,2024-03,0,paid,2024-03-22 10:44:24,2024-03-22 10:44:24,1,51.9,meta,cpc,meta_campaign_5
cust_03731436,2024-01,2024-01,0,paid,2024-01-15 13:59:52,2024-01-15 13:59:52,1,275.03,meta,cpc,meta_campaign_3
cust_0396257d,2024-01,2024-01,0,paid,2024-01-09 12:07:19,2024-01-09 12:07:19,1,130.82,google,cpc,google_campaign_4
cust_03a0b9d2,2024-03,2024-03,0,paid,2024-03-16 23:34:39,2024-03-16 23:34:39,1,88.25,direct,direct,direct
cust_03ad1b2c,2024-11,2024-11,0,paid,2024-11-02 20:13:21,2024-11-02 20:13:21,1,52.83,meta,cpc,meta_campaign_16
cust_03bc294b,2024-01,2024-01,0,paid,2024-01-20 12:24:23,2024-01-20 12:24:23,1,43.11,tiktok,cpc,tiktok_campaign_13
cust_03cd171d,2024-01,2024-01,0,paid,2024-01-29 08:41:00,2024-01-29 08:41:00,1,222.57,google,cpc,google_campaign_2
cust_03f5e56b,2024-02,2024-02,0,paid,2024-02-25 20:15:01,2024-02-25 20:15:01,1,129.12,direct,direct,direct
cust_0400922f,2024-04,2024-04,0,paid,2024-04-23 20:44:33,2024-04-23 20:44:33,1,34.13,direct,direct,direct
cust_04445252,2024-10,2024-10,0,paid,2024-10-06 16:25:57,2024-10-06 16:25:57,1,148.88,google,cpc,google_campaign_17
cust_044f0a3e,2024-02,2024-02,0,paid,2024-02-06 22:20:15,2024-02-06 22:20:15,1,86.71,direct,direct,direct
cust_0454a640,2024-10,2024-10,0,paid,2024-10-16 17:20:50,2024-10-16 17:20:50,1,37.01,google,cpc,google_campaign_5
cust_045c63b4,2024-03,2024-03,0,paid,2024-03-03 11:39:07,2024-03-03 11:39:07,1,139.79,direct,direct,direct
cust_0483898e,2024-04,2024-04,0,paid,2024-04-18 15:20:03,2024-04-18 15:20:03,1,30.77,meta,cpc,meta_campaign_19
cust_0491caa1,2024-08,2024-08,0,paid,2024-08-26 07:11:12,2024-08-26 07:11:12,1,52.75,direct,direct,direct
cust_0503004c,2024-09,2024-09,0,paid,2024-09-25 15:51:11,2024-09-25 15:51:11,1,86.29,organic,organic,direct
cust_050be217,2024-10,2024-10,0,paid,2024-10-06 07:31:51,2024-10-06 07:31:51,1,47.37,direct,direct,direct
cust_0561d34e,2024-06,2024-06,0,paid,2024-06-24 19:43:53,2024-06-24 19:43:53,1,178.46,direct,direct,direct
cust_0569a5ad,2024-04,2024-04,0,paid,2024-04-13 08:30:20,2024-04-13 08:30:20,1,135.81,direct,direct,direct
cust_058b770b,2024-11,2024-11,0,paid,2024-11-30 15:35:48,2024-11-30 15:35:48,1,56.39,organic,organic,direct
cust_05ad4eab,2024-11,2024-11,0,paid,2024-11-03 12:56:45,2024-11-03 12:56:45,1,79.27,meta,cpc,meta_campaign_10
cust_0610871b,2024-11,2024-11,0,paid,2024-11-23 19:05:25,2024-11-23 19:05:25,1,232.76,google,cpc,google_campaign_4
cust_0647d8bf,2024-04,2024-04,0,paid,2024-04-10 18:29:56,2024-04-10 18:29:56,1,59.98,tiktok,cpc,tiktok_campaign_15
cust_0666a7ff,2024-09,2024-09,0,paid,2024-09-17 08:04:51,2024-09-17 08:04:51,1,147.78,direct,direct,direct
cust_0668b7a7,2024-04,2024-04,0,paid,2024-04-02 21:27:42,2024-04-02 21:27:42,1,122.71,direct,direct,direct
cust_066b0cf3,2024-12,2024-12,0,paid,2024-12-14 20:04:21,2024-12-14 20:04:21,1,33.94,tiktok,cpc,tiktok_campaign_11
cust_066bc1ff,2024-05,2024-05,0,paid,2024-05-25 15:41:21,2024-05-25 15:41:21,1,48.07,meta,cpc,meta_campaign_6
cust_0692d7cd,2024-11,2024-11,0,paid,2024-11-04 22:52:08,2024-11-04 22:52:08,1,215.2,meta,cpc,meta_campaign_19
cust_07142331,2024-11,2024-11,0,paid,2024-11-21 09:10:19,2024-11-21 09:10:19,1,102.32,organic,organic,direct
cust_0723977a,2024-02,2024-02,0,paid,2024-02-21 22:48:29,2024-02-21 22:48:29,1,97.76,direct,direct,direct
cust_0733ef3e,2024-06,2024-06,0,paid,2024-06-02 21:24:56,2024-06-02 21:24:56,1,180.97,direct,direct,direct
cust_07353a1e,2024-05,2024-05,0,paid,2024-05-07 20:20:56,2024-05-07 20:20:56,1,134.18,direct,direct,direct
cust_075f1792,2024-08,2024-08,0,paid,2024-08-01 20:49:50,2024-08-01 20:49:50,1,282.98,direct,direct,direct
cust_078fdb61,2024-11,2024-11,0,paid,2024-11-18 20:11:02,2024-11-18 20:11:02,1,25.34,meta,cpc,meta_campaign_2
cust_07cf188d,2024-05,2024-05,0,paid,2024-05-05 22:41:14,2024-05-05 22:41:14,1,126.89,direct,direct,direct
cust_07e6e4d1,2024-05,2024-05,0,paid,2024-05-17 11:12:54,2024-05-17 11:12:54,1,53.07,google,cpc,google_campaign_19
cust_08079db0,2024-11,2024-11,0,paid,2024-11-29 18:15:15,2024-11-29 18:15:15,1,87.46,google,cpc,google_campaign_10
cust_08096668,2024-06,2024-06,0,paid,2024-06-06 21:05:16,2024-06-06 21:05:16,1,81.97,direct,direct,direct
cust_0823eff7,2024-01,2024-01,0,paid,2024-01-05 20:30:30,2024-01-05 20:30:30,1,104.35,google,cpc,google_campaign_8
cust_08346900,2024-07,2024-07,0,paid,2024-07-26 19:49:01,2024-07-26 19:49:01,1,180.14,meta,cpc,meta_campaign_15
cust_08456b8c,2024-11,2024-11,0,paid,2024-11-21 11:39:07,2024-11-21 11:39:07,1,129.24,direct,direct,direct
cust_085eb17d,2024-01,2024-01,0,paid,2024-01-23 15:51:02,2024-01-23 15:51:02,1,216.15,direct,direct,direct
cust_0892e558,2024-06,2024-06,0,paid,2024-06-13 19:17:08,2024-06-13 19:17:08,1,43.76,organic,organic,direct
cust_08baf85f,2024-07,2024-07,0,paid,2024-07-27 19:27:48,2024-07-27 19:27:48,1,92.69,meta,cpc,meta_campaign_17
cust_08c55c74,2024-04,2024-04,0,paid,2024-04-29 09:54:53,2024-04-29 09:54:53,1,55.26,email,email,email_campaign_7
cust_08d6e44a,2024-08,2024-08,0,paid,2024-08-26 17:32:52,2024-08-26 17:32:52,1,65.65,meta,cpc,meta_campaign_9
cust_08e2593f,2024-09,2024-09,0,paid,2024-09-23 10:16:33,2024-09-23 10:16:33,1,39.52,direct,direct,direct
cust_08e897ff,2024-11,2024-11,0,paid,2024-11-07 10:20:19,2024-11-07 10:20:19,1,56.22,organic,organic,direct
cust_08f95c75,2024-08,2024-08,0,paid,2024-08-08 23:29:48,2024-08-08 23:29:48,1,31.82,meta,cpc,meta_campaign_4
cust_092258ff,2024-10,2024-10,0,paid,2024-10-07 09:25:49,2024-10-07 09:25:49,1,213.17,google,cpc,google_campaign_8
cust_09497cf3,2024-03,2024-03,0,paid,2024-03-06 14:06:19,2024-03-06 14:06:19,1,122.21,organic,organic,direct
cust_09676ea9,2024-10,2024-10,0,paid,2024-10-30 19:13:55,2024-10-30 19:13:55,1,119.29,organic,organic,direct
cust_0986407e,2024-06,2024-06,0,paid,2024-06-21 22:06:06,2024-06-21 22:06:06,1,122.2,direct,direct,direct
cust_09c473a7,2024-12,2024-12,0,paid,2024-12-07 14:39:27,2024-12-07 14:39:27,1,85.24,direct,direct,direct
cust_09f36b6d,2024-07,2024-07,0,paid,2024-07-28 20:21:12,2024-07-28 20:21:12,1,70.0,direct,direct,direct
cust_09f3ec2a,2024-11,2024-11,0,paid,2024-11-18 19:12:21,2024-11-18 19:12:21,1,242.98,direct,direct,direct
cust_0a2e0299,2024-06,2024-06,0,paid,2024-06-19 20:56:33,2024-06-19 20:56:33,1,123.4,meta,cpc,meta_campaign_4
