customer_id,order_id,order_date,payment_status,total_amount,utm_source,utm_medium,utm_campaign,first_paid_order_month,order_month,month_index
cust_000a2b55,ord_53f5d304,2024-06-16 08:32:22,paid,51.0,tiktok,cpc,tiktok_campaign_16,2024-06,2024-06,0
cust_00274780,ord_0189c22d,2024-05-01 10:26:18,paid,87.08,direct,direct,direct,2024-05,2024-05,0
cust_002d0843,ord_d2c76735,2024-04-23 12:19:56,paid,88.26,organic,organic,direct,2024-04,2024-04,0
cust_004c8d70,ord_4e207deb,2024-09-08 14:42:06,paid,396.02,google,cpc,google_campaign_6,2024-09,2024-09,0
cust_0058404c,ord_5e367c0c,2024-10-11 20:09:56,paid,102.5,organic,organic,direct,2024-10,2024-10,0
cust_007261bf,ord_34fbdbd1,2024-12-07 10:11:43,paid,54.75,google,cpc,google_campaign_18,2024-12,2024-12,0
cust_00735990,ord_207b8173,2024-01-24 18:42:20,paid,148.53,direct,direct,direct,2024-01,2024-01,0
cust_008ccc7d,ord_e75aa690,2024-02-29 23:19:33,paid,76.71,organic,organic,direct,2024-02,2024-02,0
cust_009063d5,ord_aa13be0e,2024-11-17 11:06:27,paid,46.28,google,cpc,google_campaign_6,2024-11,2024-11,0
cust_00acca40,ord_8f92edfa,2024-12-13 09:26:22,paid,206.58,google,cpc,google_campaign_1,2024-12,2024-12,0
cust_00bf11bc,ord_729df477,2024-10-14 07:22:05,paid,106.81,organic,organic,direct,2024-10,2024-10,0
cust_00f118d2,ord_e41c763d,2024-08-14 20:05:11,paid,139.1,meta,cpc,meta_campaign_7,2024-08,2024-08,0
cust_01136aca,ord_41af921d,2024-07-28 22:48:30,paid,222.61,direct,direct,direct,2024-07,2024-07,0
cust_011ec2ce,ord_2139fa91,2024-10-10 13:35:18,paid,139.66,google,cpc,google_campaign_6,2024-10,2024-10,0
cust_0132cf59,ord_bf7eacc3,2024-07-19 11:19:08,paid,39.76,meta,cpc,meta_campaign_6,2024-07,2024-07,0
cust_0138c952,ord_6d354840,2024-08-07 14:14:25,paid,132.42,direct,direct,direct,2024-08,2024-08,0
cust_017dcf73,ord_e35d1025,2024-11-09 15:53:47,paid,121.29,google,cpc,google_campaign_11,2024-11,2024-11,0
cust_018ecb4a,ord_21c42e3c,2024-10-20 16:32:46,paid,208.39,direct,direct,direct,2024-10,2024-10,0
cust_019425e0,ord_6258a0a2,2024-11-25 15:16:20,paid,49.94,tiktok,cpc,tiktok_campaign_7,2024-11,2024-11,0
cust_01c74bf4,ord_f29bcf76,2024-08-18 08:42:29,paid,153.12,direct,direct,direct,2024-08,2024-08,0
cust_020a7566,ord_fea21454,2024-06-26 06:47:31,paid,81.02,direct,direct,direct,2024-06,2024-06,0
cust_0212ad3c,ord_087c0e2b,2024-10-02 15:04:57,paid,35.55,google,cpc,google_campaign_13,2024-10,2024-10,0
cust_02321411,ord_ab8233ce,2024-04-14 15:38:52,paid,90.76,tiktok,cpc,tiktok_campaign_3,2024-04,2024-04,0
cust_02aafd0f,ord_19dd1267,2024-03-08 09:18:08,paid,92.9,direct,direct,direct,2024-03,2024-03,0
cust_02b4dbbb,ord_c6cf6ebf,2024-06-04 15:53:15,paid,29.8,meta,cpc,meta_campaign_14,2024-06,2024-06,0
cust_02ee30d2,ord_28df8a34,2024-08-22 22:36:18,paid,115.89,direct,direct,direct,2024-08,2024-08,0
cust_02f3a191,ord_66acf78f,2024-10-26 00:16:24,paid,68.02,direct,direct,direct,2024-10,2024-10,0
cust_030b9c03,ord_113281a2,2024-04-26 19:53:27,paid,40.64,direct,direct,direct,2024-04,2024-04,0
cust_03217c1f,ord_92ecde58,2024-12-09 08:23:24,paid,53.8,direct,direct,direct,2024-12,2024-12,0
cust_033f6834,ord_3d143b9e,2024-11-27 21:33:58,paid,123.67,direct,direct,direct,2024-11,2024-11,0
cust_0340f517,ord_408409c5,2024-11-08 17:57:24,paid,150.47,organic,organic,direct,2024-11,2024-11,0
cust_034c2eda,ord_1a561822,2024-06-06 15:02:05,paid,85.5,direct,direct,direct,2024-06,2024-06,0
cust_03506676,ord_4d0b17dd,2024-03-22 10:44:24,paid,51.9,meta,cpc,meta_campaign_5,2024-03,2024-03,0
cust_03731436,ord_98937a9c,2024-01-15 13:59:52,paid,275.03,meta,cpc,meta_campaign_3,2024-01,2024-01,0
cust_0396257d,ord_d3a2f0ae,2024-01-09 12:07:19,paid,130.82,google,cpc,google_campaign_4,2024-01,2024-01,0
cust_03a0b9d2,ord_0294e883,2024-03-16 23:34:39,paid,88.25,direct,direct,direct,2024-03,2024-03,0
cust_03ad1b2c,ord_8ca16a71,2024-11-02 20:13:21,paid,52.83,meta,cpc,meta_campaign_16,2024-11,2024-11,0
cust_03bc294b,ord_208c3f11,2024-01-20 12:24:23,paid,43.11,tiktok,cpc,tiktok_campaign_13,2024-01,2024-01,0
cust_03cd171d,ord_41489d14,2024-01-29 08:41:00,paid,222.57,google,cpc,google_campaign_2,2024-01,2024-01,0
cust_03f5e56b,ord_5225a0eb,2024-02-25 20:15:01,paid,129.12,direct,direct,direct,2024-02,2024-02,0
cust_0400922f,ord_d2ef5212,2024-04-23 20:44:33,paid,34.13,direct,direct,direct,2024-04,2024-04,0
cust_04445252,ord_732c3e3b,2024-10-06 16:25:57,paid,148.88,google,cpc,google_campaign_17,2024-10,2024-10,0
cust_044f0a3e,ord_1883dffc,2024-02-06 22:20:15,paid,86.71,direct,direct,direct,2024-02,2024-02,0
cust_0454a640,ord_167fee69,2024-10-16 17:20:50,paid,37.01,google,cpc,google_campaign_5,2024-10,2024-10,0
cust_045c63b4,ord_22a089b7,2024-03-03 11:39:07,paid,139.79,direct,direct,direct,2024-03,2024-03,0
cust_0483898e,ord_63c8be14,2024-04-18 15:20:03,paid,30.77,meta,cpc,meta_campaign_19,2024-04,2024-04,0
cust_0491caa1,ord_5c1da8f3,2024-08-26 07:11:12,paid,52.75,direct,direct,direct,2024-08,2024-08,0
cust_0503004c,ord_2a6614e0,2024-09-25 15:51:11,paid,86.29,organic,organic,direct,2024-09,2024-09,0
cust_050be217,ord_5903e609,2024-10-06 07:31:51,paid,47.37,direct,direct,direct,2024-10,2024-10,0
cust_0561d34e,ord_26399f6e,2024-06-24 19:43:53,paid,178.46,direct,direct,direct,2024-06,2024-06,0
cust_0569a5ad,ord_d14888ed,2024-04-13 08:30:20,paid,135.81,direct,direct,direct,2024-04,2024-04,0
cust_058b770b,ord_9c7f3080,2024-11-30 15:35:48,paid,56.39,organic,organic,direct,2024-11,2024-11,0
cust_05ad4eab,ord_20d4d81f,2024-11-03 12:56:45,paid,79.27,meta,cpc,meta_campaign_10,2024-11,2024-11,0
cust_0610871b,ord_685f4ec8,2024-11-23 19:05:25,paid,232.76,google,cpc,google_campaign_4,2024-11,2024-11,0
