first_touch_channel,rfm_segment,users,total_revenue,avg_revenue_per_user,avg_frequency,avg_recency_days,segment_share_in_group
direct,重要价值用户,1,205.11,205.11,2.0,16.0,0.004219409282700422
direct,重要挽留用户,0,0.0,,,,0.0
direct,重要发展用户,45,9035.1,200.78,1.0,110.06666666666666,0.189873417721519
direct,重要唤回用户,39,5922.21,151.85153846153847,1.0,238.69230769230768,0.16455696202531644
direct,一般价值用户,0,0.0,,,,0.0
direct,一般挽留用户,0,0.0,,,,0.0
direct,一般发展用户,84,5702.46,67.88642857142857,1.0,97.11904761904762,0.35443037974683544
direct,低价值流失用户,68,4408.52,64.83117647058825,1.0,254.4558823529412,0.2869198312236287
email,重要价值用户,0,0.0,,,,0.0
email,重要挽留用户,0,0.0,,,,0.0
email,重要发展用户,33,6029.03,182.69787878787878,1.0,101.36363636363636,0.2357142857142857
email,重要唤回用户,29,4699.58,162.05448275862068,1.0,260.1034482758621,0.20714285714285716
email,一般价值用户,0,0.0,,,,0.0
email,一般挽留用户,0,0.0,,,,0.0
email,一般发展用户,40,2838.53,70.96325,1.0,108.45,0.2857142857142857
email,低价值流失用户,38,2399.38,63.14157894736842,1.0,250.31578947368422,0.2714285714285714
google,重要价值用户,2,659.77,329.885,2.0,122.5,0.004424778761061947
google,重要挽留用户,0,0.0,,,,0.0
google,重要发展用户,94,18314.920000000002,194.83957446808512,1.0,90.45744680851064,0.2079646017699115
google,重要唤回用户,75,12167.02,162.22693333333333,1.0,245.37333333333333,0.16592920353982302
google,一般价值用户,0,0.0,,,,0.0
google,一般挽留用户,0,0.0,,,,0.0
google,一般发展用户,154,11254.05,73.07824675324675,1.0,101.15584415584415,0.3407079646017699
google,低价值流失用户,127,7714.5599999999995,60.74456692913385,1.0,251.51968503937007,0.2809734513274336
meta,重要价值用户,2,740.3199999999999,370.15999999999997,2.0,36.0,0.004694835680751174
meta,重要挽留用户,0,0.0,,,,0.0
meta,重要发展用户,108,21403.85,198.1837962962963,1.0,100.83333333333333,0.2535211267605634
meta,重要唤回用户,58,9596.77,165.46155172413793,1.0,251.13793103448276,0.13615023474178403
meta,一般价值用户,0,0.0,,,,0.0
meta,一般挽留用户,0,0.0,,,,0.0
meta,一般发展用户,140,9751.88,69.65628571428572,1.0,97.25,0.3286384976525822
meta,低价值流失用户,118,7092.2,60.103389830508476,1.0,251.8728813559322,0.27699530516431925
organic,重要价值用户,0,0.0,,,,0.0
organic,重要挽留用户,1,149.48000000000002,149.48000000000002,2.0,127.0,0.002793296089385475
organic,重要发展用户,87,15975.88,183.63080459770114,1.0,107.4367816091954,0.2430167597765363
organic,重要唤回用户,77,12583.86,163.42675324675326,1.0,243.35064935064935,0.21508379888268156
organic,一般价值用户,0,0.0,,,,0.0
organic,一般挽留用户,0,0.0,,,,0.0
organic,一般发展用户,111,8422.85,75.88153153153154,1.0,90.55855855855856,0.3100558659217877
organic,低价值流失用户,82,5357.27,65.33256097560977,1.0,245.109756097561,0.22905027932960895
tiktok,重要价值用户,1,302.1,302.1,2.0,0.0,0.003787878787878788
tiktok,重要挽留用户,0,0.0,,,,0.0
tiktok,重要发展用户,63,11215.03,178.01634920634922,1.0,104.2063492063492,0.23863636363636365
tiktok,重要唤回用户,37,5218.88,141.05081081081082,1.0,263.7027027027027,0.14015151515151514
tiktok,一般价值用户,0,0.0,,,,0.0
tiktok,一般挽留用户,0,0.0,,,,0.0
tiktok,一般发展用户,92,6928.88,75.31391304347827,1.0,113.27173913043478,0.3484848484848485
tiktok,低价值流失用户,71,4658.35,65.61056338028169,1.0,247.49295774647888,0.2689393939393939
