primary_category,rfm_segment,users,total_revenue,avg_revenue_per_user,avg_frequency,avg_recency_days,segment_share_in_group
beauty,重要价值用户,0,0.0,,,,0.0
beauty,重要挽留用户,0,0.0,,,,0.0
beauty,重要发展用户,63,7243.38,114.97428571428571,1.0,42.857142857142854,0.15328467153284672
beauty,重要唤回用户,102,12495.52,122.5050980392157,1.0,214.86274509803923,0.24817518248175183
beauty,一般价值用户,0,0.0,,,,0.0
beauty,一般挽留用户,0,0.0,,,,0.0
beauty,一般发展用户,68,3211.07,47.22161764705883,1.0,46.088235294117645,0.1654501216545012
beauty,低价值流失用户,178,8878.58,49.87966292134831,1.0,229.46067415730337,0.43309002433090027
electronics,重要价值用户,3,813.69,271.23,2.0,63.0,0.01
electronics,重要挽留用户,0,0.0,,,,0.0
electronics,重要发展用户,117,27615.72,236.0317948717949,1.0,171.3846153846154,0.39
electronics,重要唤回用户,0,0.0,,,,0.0
electronics,一般价值用户,0,0.0,,,,0.0
electronics,一般挽留用户,0,0.0,,,,0.0
electronics,一般发展用户,180,15305.33,85.02961111111111,1.0,151.5,0.6
electronics,低价值流失用户,0,0.0,,,,0.0
fashion,重要价值用户,0,0.0,,,,0.0
fashion,重要挽留用户,1,149.48000000000002,149.48000000000002,2.0,127.0,0.0022727272727272726
fashion,重要发展用户,72,12262.74,170.31583333333333,1.0,54.138888888888886,0.16363636363636364
fashion,重要唤回用户,103,17221.82,167.2021359223301,1.0,243.64077669902912,0.2340909090909091
fashion,一般价值用户,0,0.0,,,,0.0
fashion,一般挽留用户,0,0.0,,,,0.0
fashion,一般发展用户,87,6048.07,69.5180459770115,1.0,52.48275862068966,0.19772727272727272
fashion,低价值流失用户,177,12223.44,69.05898305084746,1.0,248.70621468926555,0.4022727272727273
home,重要价值用户,2,791.51,395.755,2.0,72.0,0.004705882352941176
home,重要挽留用户,0,0.0,,,,0.0
home,重要发展用户,120,25002.46,208.3538333333333,1.0,105.375,0.2823529411764706
home,重要唤回用户,48,10544.89,219.68520833333332,1.0,306.3541666666667,0.11294117647058824
home,一般价值用户,0,0.0,,,,0.0
home,一般挽留用户,0,0.0,,,,0.0
home,一般发展用户,189,14288.84,75.60232804232804,1.0,104.16402116402116,0.4447058823529412
home,低价值流失用户,66,4984.72,75.52606060606061,1.0,294.59090909090907,0.15529411764705883
sports,重要价值用户,1,302.1,302.1,2.0,0.0,0.0033222591362126247
sports,重要挽留用户,0,0.0,,,,0.0
sports,重要发展用户,58,9849.51,169.81913793103448,1.0,74.27586206896552,0.19269102990033224
sports,重要唤回用户,62,9926.09,160.0982258064516,1.0,267.741935483871,0.2059800664451827
sports,一般价值用户,0,0.0,,,,0.0
sports,一般挽留用户,0,0.0,,,,0.0
sports,一般发展用户,97,6045.34,62.32309278350515,1.0,77.37113402061856,0.3222591362126246
sports,低价值流失用户,83,5543.54,66.78963855421686,1.0,263.1566265060241,0.2757475083056478
